subject,story,brain_score
sub-297,piemanpni,0.8727
sub-298,black,0.8169
sub-298,bronx,0.813
sub-298,forgot,0.7959
sub-298,piemanpni,0.8522
sub-299,black,0.8623
sub-299,bronx,0.8192
sub-299,forgot,0.8162
sub-299,piemanpni,0.8639
sub-300,black,0.8587
sub-300,bronx,0.835
sub-300,forgot,0.902
sub-300,piemanpni,0.8862
sub-301,black,0.84
sub-301,bronx,0.8739
sub-301,forgot,0.8859
sub-301,piemanpni,0.8765
sub-302,black,0.848
sub-302,bronx,0.8297
sub-302,forgot,0.8359
sub-302,piemanpni,0.8565
sub-303,black,0.7779
sub-303,bronx,0.8412
sub-303,forgot,0.8956
sub-303,piemanpni,0.8493
sub-304,black,0.779
sub-304,bronx,0.7466
sub-304,forgot,0.8163
sub-304,piemanpni,0.7851
sub-305,black,0.8105
sub-305,bronx,0.8288
sub-305,forgot,0.8013
sub-305,piemanpni,0.7937
sub-306,black,0.8005
sub-306,bronx,0.8391
sub-306,forgot,0.8543
sub-306,piemanpni,0.8898
sub-307,black,0.8207
sub-307,bronx,0.8982
sub-307,forgot,0.775
sub-307,piemanpni,0.8431
sub-308,black,0.7927
sub-308,bronx,0.8544
sub-308,forgot,0.8171
sub-308,piemanpni,0.8394
sub-309,black,0.7688
sub-309,bronx,0.7524
sub-309,forgot,0.8301
sub-309,piemanpni,0.8347
sub-310,black,0.7943
sub-310,piemanpni,0.8356
sub-314,black,0.8429
sub-314,forgot,0.8216
sub-314,piemanpni,0.8616
sub-315,black,0.8079
sub-315,bronx,0.8215
sub-315,forgot,0.8548
sub-315,piemanpni,0.8356
sub-316,notthefallintact,0.8737
sub-317,notthefallintact,0.8823
sub-318,notthefallintact,0.9667
sub-319,notthefallintact,0.9728
sub-320,notthefallintact,0.9592
sub-321,notthefallintact,0.9178
sub-322,notthefallintact,0.9488
sub-323,notthefallintact,0.9169
sub-324,notthefallintact,0.865
sub-324,notthefallshortscram,0.8722
sub-325,notthefallintact,0.9725
sub-325,notthefallshortscram,0.8239
sub-326,notthefallintact,0.7854
sub-326,notthefalllongscram,0.9465
sub-327,notthefallintact,0.843
sub-327,notthefalllongscram,0.8027
sub-328,notthefallintact,0.9568
sub-328,notthefalllongscram,0.8988
sub-329,notthefallintact,0.9903
sub-329,notthefallshortscram,0.8936
sub-330,notthefallintact,0.9644
sub-330,notthefalllongscram,0.891
sub-331,notthefallintact,0.8633
sub-331,notthefalllongscram,0.8551
sub-332,notthefallintact,0.9615
sub-332,notthefallshortscram,0.8422
sub-333,notthefallintact,0.8861
sub-333,notthefallshortscram,0.864
sub-334,notthefallintact,0.8761
sub-334,notthefalllongscram,0.8473
sub-335,notthefallintact,0.8896
sub-335,notthefalllongscram,0.8763
sub-336,notthefallintact,0.9014
sub-336,notthefallshortscram,0.8658
sub-337,notthefallintact,0.8722
sub-337,notthefalllongscram,0.868
sub-338,notthefallintact,0.8839
sub-338,notthefallshortscram,0.9065
sub-339,notthefallintact,0.9692
sub-339,notthefallshortscram,0.8906
sub-340,notthefallintact,0.8823
sub-340,notthefalllongscram,0.8419
sub-341,notthefallintact,0.8283
sub-341,notthefalllongscram,0.8628
sub-342,notthefallintact,0.9425
sub-342,notthefallshortscram,0.8777
sub-343,notthefallintact,0.9882
sub-343,notthefallshortscram,0.9756
sub-344,notthefallintact,0.8947
sub-344,notthefalllongscram,0.8851
sub-345,notthefallintact,0.9581
sub-345,notthefallshortscram,0.9084
