subject,story,raw_score,sft_score,delta
sub-314,black,0.8406,0.8429,0.0022999999999999687
sub-315,black,0.8056,0.8079,0.0022999999999999687
sub-269,21styear,0.8371,0.8393,0.0022000000000000908
sub-342,notthefallshortscram,0.8755,0.8777,0.0022000000000000908
sub-051,pieman,0.8867,0.8889,0.0021999999999999797
sub-080,pieman,0.8757,0.8779,0.0021999999999999797
sub-056,pieman,0.8439,0.8461,0.0021999999999999797
sub-076,pieman,0.8847,0.8869,0.0021999999999999797
sub-298,bronx,0.8108,0.813,0.0021999999999999797
sub-301,bronx,0.8717,0.8739,0.0021999999999999797
sub-314,piemanpni,0.8594,0.8616,0.0021999999999999797
sub-310,piemanpni,0.8334,0.8356,0.0021999999999999797
sub-338,notthefallintact,0.8818,0.8839,0.0020999999999999908
sub-282,black,0.8361,0.8382,0.0020999999999999908
sub-026,lucy,0.8656,0.8677,0.0020999999999999908
sub-127,black,0.8475,0.8496,0.0020999999999999908
sub-004,tunnel,0.7651,0.7672,0.0020999999999999908
sub-303,bronx,0.8391,0.8412,0.0020999999999999908
sub-293,piemanpni,0.7861,0.7881,0.0020000000000000018
sub-307,bronx,0.8962,0.8982,0.0020000000000000018
sub-308,black,0.7907,0.7927,0.0020000000000000018
sub-144,slumlordreach,0.8972,0.8992,0.0020000000000000018
sub-137,notthefallintact,0.9727,0.9747,0.0020000000000000018
sub-228,shapessocial,0.8851,0.887,0.0019000000000000128
sub-111,prettymouth,0.9694,0.9713,0.0019000000000000128
sub-055,lucy,0.9202,0.9221,0.0019000000000000128
sub-199,notthefallintact,0.8213,0.8232,0.0019000000000000128
sub-066,tunnel,0.9612,0.9631,0.0018999999999999018
sub-170,sherlock,0.7962,0.798,0.0018000000000000238
sub-131,21styear,0.7862,0.788,0.0018000000000000238
sub-308,piemanpni,0.8376,0.8394,0.0018000000000000238
sub-079,pieman,0.8426,0.8444,0.0018000000000000238
sub-145,slumlordreach,0.9767,0.9785,0.0018000000000000238
sub-027,pieman,0.8401,0.8419,0.0018000000000000238
sub-324,notthefallintact,0.8632,0.865,0.0018000000000000238
sub-156,sherlock,0.751,0.7528,0.0018000000000000238
sub-233,shapessocial,0.8353,0.8371,0.0017999999999999128
sub-177,sherlock,0.7909,0.7927,0.0017999999999999128
sub-132,slumlordreach,0.9559,0.9576,0.0017000000000000348
sub-009,pieman,0.823,0.8247,0.0017000000000000348
sub-315,bronx,0.8198,0.8215,0.0017000000000000348
sub-296,piemanpni,0.8457,0.8474,0.0017000000000000348
sub-140,notthefalllongscram,0.8782,0.8798,0.0016000000000000458
sub-277,black,0.8069,0.8085,0.0016000000000000458
sub-221,shapessocial,0.9675,0.9691,0.0015999999999999348
sub-279,black,0.841,0.8425,0.0015000000000000568
sub-280,black,0.8066,0.8081,0.0015000000000000568
sub-093,prettymouth,0.8319,0.8334,0.0015000000000000568
sub-267,bronx,0.8372,0.8387,0.0014999999999999458
sub-021,pieman,0.9765,0.978,0.0014999999999999458
sub-057,tunnel,0.9675,0.969,0.0014999999999999458
sub-026,tunnel,0.8505,0.852,0.0014999999999999458
sub-107,prettymouth,0.958,0.9594,0.0014000000000000679
sub-091,prettymouth,0.8634,0.8648,0.0014000000000000679
sub-300,bronx,0.8336,0.835,0.0013999999999999568
sub-335,notthefallintact,0.8882,0.8896,0.0013999999999999568
sub-060,tunnel,0.8452,0.8465,0.0013000000000000789
sub-290,bronx,0.8321,0.8334,0.0013000000000000789
sub-104,prettymouth,0.9718,0.9731,0.0012999999999999678
sub-036,pieman,0.9706,0.9719,0.0012999999999999678
sub-306,bronx,0.8378,0.8391,0.0012999999999999678
sub-064,tunnel,0.9111,0.9124,0.0012999999999999678
sub-219,shapessocial,0.8002,0.8015,0.0012999999999999678
sub-331,notthefalllongscram,0.8538,0.8551,0.0012999999999999678
sub-060,pieman,0.978,0.9793,0.0012999999999999678
sub-144,notthefalllongscram,0.8369,0.8382,0.0012999999999999678
sub-285,bronx,0.8189,0.8201,0.0012000000000000899
sub-022,tunnel,0.9664,0.9676,0.0011999999999999789
sub-190,shapessocial,0.8756,0.8768,0.0011999999999999789
sub-297,piemanpni,0.8715,0.8727,0.0011999999999999789
sub-070,pieman,0.9675,0.9687,0.0011999999999999789
sub-046,pieman,0.862,0.8632,0.0011999999999999789
sub-143,slumlordreach,0.9826,0.9838,0.0011999999999999789
sub-061,tunnel,0.9669,0.9681,0.0011999999999999789
sub-322,notthefallintact,0.9476,0.9488,0.0011999999999999789
sub-238,shapessocial,0.8486,0.8498,0.0011999999999999789
sub-097,prettymouth,0.9748,0.976,0.0011999999999999789
sub-103,prettymouth,0.9639,0.9651,0.0011999999999999789
sub-042,pieman,0.8933,0.8944,0.0010999999999999899
sub-030,pieman,0.9714,0.9725,0.0010999999999999899
sub-212,shapessocial,0.8098,0.8109,0.0010999999999999899
sub-016,slumlordreach,0.9667,0.9678,0.0010999999999999899
sub-047,pieman,0.9608,0.9619,0.0010999999999999899
sub-246,shapesphysical,0.7945,0.7956,0.0010999999999999899
sub-049,pieman,0.9715,0.9726,0.0010999999999999899
sub-294,piemanpni,0.7941,0.7951,0.0010000000000000009
sub-007,pieman,0.8547,0.8557,0.0010000000000000009
sub-304,bronx,0.7456,0.7466,0.0010000000000000009
sub-064,pieman,0.8895,0.8905,0.0010000000000000009
sub-024,pieman,0.966,0.967,0.0010000000000000009
sub-099,prettymouth,0.9587,0.9597,0.0010000000000000009
sub-284,piemanpni,0.8542,0.8552,0.0010000000000000009
sub-039,pieman,0.9887,0.9897,0.0010000000000000009
sub-134,slumlordreach,0.974,0.9749,0.0009000000000000119
sub-301,black,0.8391,0.84,0.0009000000000000119
sub-291,black,0.8946,0.8955,0.0009000000000000119
sub-206,shapessocial,0.8188,0.8197,0.0009000000000000119
sub-162,sherlock,0.791,0.7919,0.0009000000000000119
sub-301,piemanpni,0.8756,0.8765,0.0008999999999999009
sub-065,pieman,0.9782,0.979,0.0008000000000000229
sub-239,shapessocial,0.9416,0.9424,0.0008000000000000229
sub-167,merlin,0.8007,0.8015,0.0008000000000000229
sub-280,forgot,0.814,0.8148,0.0008000000000000229
sub-305,black,0.8097,0.8105,0.0008000000000000229
sub-150,sherlock,0.8238,0.8246,0.0008000000000000229
